FrageNr;Frage;Frage_Bild1;Frage_Bild1_scale;Frage_Bild2;Frage_Bild2_scale;AntwortA;AntwortA_Bild;AntwortA_Bild_scale;AntwortB;AntwortB_Bild;AntwortB_Bild_scale;AntwortC;AntwortC_Bild;AntwortC_Bild_scale;AntwortD;AntwortD_Bild;AntwortD_Bild_scale
TE111;Das folgende Oszillogramm zeigt ein AM-Signal. Der Modulationsgrad beträgt hier ca.;te111_a.jpg;1.0;;;50%.;;;33%.;;;67%.;;;75%.;;
TE112;Das folgende Oszillogramm zeigt ein AM-Signal. Der Modulationsgrad beträgt hier ca.;te112_a.jpg;1.0;;;45%.;;;55%.;;;30%.;;;75%.;;
TE113;Das folgende Oszillogramm zeigt;te113_a.jpg;1.0;;;ein typisches Zweiton-SSB-Testsignal.;;;ein typisches Einton-FM-Testsignal.;;;ein typisches 100-%-AM-Signal.;;;ein typisches CW-Signal.;;
TE201;Welche nachfolgende Sendeart hat die geringste Störanfälligkeit bei Funkanlagen in Kraftfahrzeugen?;;;;;F3E, weil hier die wichtige Information nicht in der Amplitude enthalten ist.;;;C3F, weil hier die wichtige Information in der Amplitude des Restseitenbandes enthalten ist.;;;J3E, weil hier die wichtige Information in der Amplitude eines Seitenbandes enthalten ist.;;;A3E, weil hier die wichtige Information in den Amplituden der beiden Seitenbänder enthalten ist.;;
TE202;Was gilt in etwa für die Bandbreite B eines FM-Signals, wenn der Modulationsindex m < 0,5 wird? f_mod sei die Modulationsfrequenz und Δf der Hub.);;;;;f_mod > Δf. Die Bandbreite wird im wesentlichen;;;f_mod < Δf. Die Bandbreite wird im wesentlichen;;;f_mod < Δf. Die Bandbreite wird im wesentlichen;;;f_mod > Δf. Die Bandbreite wird im wesentlichen;;
TE203;Was gilt in etwa für die Bandbreite B eines FM-Signals, wenn der Modulationsindex m > 2 wird? f_mod sei die Modulationsfrequenz und Δf der Hub.);;;;;f f mod < Δf . Die Bandbreite wird im wesentlichen durch Δf bestimmt: B ≈ 2 * Δf.;;;f f mod > Δf . Die Bandbreite wird im wesentlichen durch mod f bestimmt: mod B ≈ 2 * f_mod;;;f f mod > Δf . Die Bandbreite wird im wesentlichen durch m*Δf bestimmt: B ≈ m * Δf;;;f f mod < Δf . Die Bandbreite wird im wesentlichen durch mod m* f bestimmt: mod B ≈ m * f_mod;;
TE204;Wodurch wird bei Frequenzmodulation die Lautstärke-Information übertragen?;;;;;Durch die Größe der Trägerfrequenzauslenkung.;;;Durch die Geschwindigkeit der Trägerfrequenzänderung.;;;Durch die Änderung der Geschwindigkeit des Frequenzhubes.;;;Durch die Größe der Amplitude des HF-Signals.;;
TE205;Theoretisch arbeitet die Frequenzmodulation mit;;;;;einer unendlichen Anzahl von Seitenfrequenzen.;;;nur zwei Seitenbändern.;;;keinen Seitenbändern.;;;nur einem Seitenband.;;
TE206;FM hat gegenüber SSB den Vorteil der;;;;;geringeren Beeinflussung durch Störquellen.;;;geringen Anforderungen an die Bandbreite.;;;größeren Entfernungsüberbrückung.;;;besseren Kreisgüte.;;
TE207;Ein zu großer Hub eines FM-Senders führt dazu,;;;;;dass die HF-Bandbreite zu groß wird.;;;dass die Sendeendstufe übersteuert wird.;;;dass Verzerrungen auf Grund unerwünschter Unterdrückung der Trägerfrequenz auftreten.;;;dass Verzerrungen auf Grund gegenseitiger Auslöschung der Seitenbänder auftreten.;;
TE208;Die Änderung der Kapazität einer über einen Quarzoszillator angeschalteten Varicap-Diode stellt eine Möglichkeit dar;;;;;Frequenzmodulation zu erzeugen.;;;Zweiseitenbandmodulation zu erzeugen.;;;CW-Signale zu erzeugen.;;;Amplitudenmodulation zu erzeugen.;;
TE209;Ein 2-m-Sender erzeugt seine Ausgangsfrequenz durch Vervielfachung der Oszillatorfrequenz um den Faktor 12. Der Hub der Ausgangsfrequenz beträgt 5 KHz. Wie groß ist der Hub der Oszillatorfrequenz?;;;;;0,417 KHz;;;12,083 MHz;;;5 KHz;;;60 KHz;;
TE210;Eine FM-Telefonie-Aussendung mit zu großem Hub führt möglicherweise;;;;;zu Nachbarkanalstörungen.;;;zur Übersteuerung der Sendeendstufe.;;;zu Verzerrungen auf Grund unerwünschter Unterdrückung der Trägerfrequenz.;;;zu Verzerrungen auf Grund gegenseitiger Auslöschung der Seitenbänder.;;
TE211;Was bewirkt die Erhöhung des Hubes eines frequenzmodulierten Senders?;;;;;Eine höhere HF-Bandbreite.;;;Eine größere Sprachkomprimierung.;;;Eine stärkere Unterdrückung von FMGeräuschen.;;;Eine geringere Störung der Nachbarkanäle.;;
TE212;Größerer Frequenzhub führt bei einem FM-Sender zu;;;;;einer größeren HF-Bandbreite.;;;einer Erhöhung der Senderausgangsleistung.;;;einer Erhöhung der Amplitude der Trägerfrequenz.;;;einer Reduktion der Amplituden der Seitenbänder.;;
TE213;Bei der FM-Übertragung werden Preemphasis und Deemphasis eingesetzt,;;;;;um den Signalrauschabstand am Ausgang zu erhöhen.;;;um die erforderliche Übertragungsbandbreite zu reduzieren.;;;um die tiefen Frequenzen anzuheben.;;;um die hohen Frequenzanteile zu unterdrücken.;;
TE214;Am Spektrumanalysator zeigt ein FM-Sender bei der Modulation mit einem 1-KHz-Ton die erste Trägernullstelle. Wie groß ist der Spitzenhub?;;;;;2,4 KHz;;;1,7 KHz;;;4,8 KHz;;;3,4 KHz;;
TE215;Wenn ein FM-Sender mit einem Modulationsindex m = 2,4 betrieben wird,;;;;;hat seine Trägerfrequenz eine Nullstelle.;;;nimmt der Trägerpegel um den Faktor 2,4 zu.;;;verändert sich der Trägerpegel nicht, da es sich um FM handelt.;;;ist der maximale Hub erreicht.;;
TE216;Wie wird die Empfindlichkeit eines FM-Modulators angegeben?;;;;;In kHz/V;;;Als Modulationsindex;;;Als Hub;;;In Rad/s;;
TE217;Der typische Hub eines NBFM-Signals (Schmalband-FM) im Amateurfunk beträgt;;;;;3 KHz.;;;25 KHz.;;;7,5 KHz.;;;500 Hz.;;
TE301;Wie wird ein Sender mit einem 1200-Bd- Packet-Radio-Signal moduliert? Ein weit verbreitetes Verfahren ist, das Signal;;;;;im NF-Bereich zu erzeugen und auf den Mikrofoneingang des Senders zu geben.;;;mit einem digitalen Modulator zu erzeugen und auf den ZF-Eingang des Senders zu geben.;;;mit einem digitalen Modulator zu erzeugen und auf den CW-Eingang des Senders zu geben.;;;im NF-Bereich zu erzeugen und auf den PTT-Eingang des Senders zu geben.;;
TE302;Welche NF-Bandbreite beansprucht ein 1200-Bd-Packet-Radio-AFSK-Signal?;;;;;ca. 3 KHz;;;ca. 6,6 KHz;;;12,5 KHz;;;25 KHz;;
TE303;Welche NF-Zwischenträgerfrequenzen werden in der Regel in Packet-Radio bei 1200 Bd benutzt?;;;;;1200 / 2200 Hz;;;500 / 1750 Hz;;;850 / 1200 KHz;;;300 / 2700 Hz;;
TE304;Wie erfolgt die Datenübertragung bei Packet-Radio?;;;;;Die Daten werden paketweise gesendet. Der Beginn eines Paketes wird durch ein Synchronisationszeichen eingeleitet. Der Takt wird im Empfänger aus den Daten zurückgewonnen.;;;Die Daten werden paketweise gesendet. Am Anfang erfolgt ein Startzeichen und am Ende ein Stoppzeichen.;;;Die Daten werden parallel ausgesendet. Der Takt wird im Empfänger aus den Daten zurückgewonnen.;;;Die Daten werden seriell ausgesendet. Es ist ein asynchrones Verfahren.;;
TE305;Wie erfolgt die synchrone Datenübertragung?;;;;;Eine Übertragung wird durch eine Synchronisationssequenz eingeleitet. Nach erfolgreicher Synchronisation werden die Pakete aus dem Binärstrom gelesen.;;;Sende- und Empfangsstelle werden mit Hilfe der Netzfrequenz in Gleichtakt gebracht.;;;Sender und Empfänger werden nach jedem einzelnen Zeichen aufeinander synchronisiert. Die Zeichen enthalten Start- und Stoppbit, die zur Synchronisation dienen.;;;Sender und Empfänger synchronisieren ihre Taktfrequenzen mit einem Normalfrequenzsender.;;
TE306;Welche HF-Bandbreite beansprucht ein 1200-Baud-Packet-Radio-AFSK-Signal?;;;;;12 KHz;;;25 KHz;;;ca. 6,6 KHz;;;ca. 3 KHz;;
TE307;Welche der nachfolgend genannten Einrichtungen würden Sie an einen Terminal-Node-Controller (TNC) anschließen um am Packet-Radio-Betrieb teilzunehmen?;;;;;Einen geeigneten Transceiver und ein Terminal oder Computersystem;;;Eine IBM-MF-kompatible Tastatur und ein Modem;;;Ein Multifunktionsmikrofon mit DTMF-Tastatur, einen Monitor und ein Modem;;;Einen Up- /Down-Converter und einen Monitor;;
TE308;Beim Aussenden von Daten in der Betriebsart Packet-Radio muss nach dem Hochtasten des Senders eine gewisse Zeitspanne gewartet werden, bevor mit der Datenübertragung begonnen werden kann. Wie heißt der Parameter mit dem diese Zeitspanne eingestellt wird?;;;;;TX-Delay;;;DWAIT;;;RX-Delay;;;Frack;;
TE309;Beim Aussenden von Daten in der Betriebsart Packet-Radio muss nach dem Hochtasten des Senders eine gewisse Zeitspanne gewartet werden, bevor mit der Datenübertragung begonnen werden kann. Diese Zeitspanne hängt ab;;;;;vom Einschwingverhalten des Senders und der Zeit bis alle Geräte von Empfang auf Sendung durchgeschaltet haben.;;;vom Einschwingverhalten des Empfängers der Gegenstation und der Anzahl der Benutzer auf der verwendeten Frequenz.;;;von dem im Computer verwendeten Prozessortyp und dessen Taktgeschwindigkeit.;;;von der Zeit bis die Gegenstelle empfangsbereit ist und der Geschwindigkeit des eigenen Computers;;
TE310;Welche Anforderungen muss ein FM-Funkgerät erfüllen, damit es für die Übertragung von Packet-Radio mit 9600 Baud geeignet ist?;;;;;Es muss sende- und empfangsseitig den NF-Frequenzbereich von 20 Hz bis 6 KHz möglichst linear übertragen können. Die Zeit für die Sende-Empfangsumschaltung muss so kurz wie möglich sein, z.B. < 10...100 ms.;;;Es muss sende- und empfangsseitig den HF-Frequenzbereich von 300 Hz bis 3,4 KHz möglichst linear übertragen können. Die Zeit für die Sende-Empfangsumschaltung muss zwischen 100...300 ms liegen.;;;Es muss über einen Anschluss für Mikrofon und Lautsprecher verfügen, an dem ein Terminal-Node-Controller (TNC) oder Modem für 9600 Baud angeschlossen werden kann.;;;Es muss den NF-Frequenzbereich um 9600 Hz linear übertragen können und ein TX-Delay von kleiner 1 ms haben.;;
TE311;Welche Punkte in einem FM-Transceiver sind für die Zuführung bzw. das Abgreifen eines 9600-Baud-FSK-Signals geeignet?;;;;;Die Zuführung des Sendesignals könnte z.B. direkt am FM-Modulator einer Sende-ZF-Aufbereitung erfolgen. Der Abgriff des Empfangssignals könnte z.B. an einem geeigneten Punkt direkt am Demodulator erfolgen.;;;Die Zuführung des Sendesignals könnte z.B. am Eingang des Mikrofonverstärkers erfolgen. Der Abgriff des Empfangssignals könnte z.B. unter Verwendung eines zusätzlichen Hochpassfilters direkt am Ausgang des Audioverstärkers erfolgen.;;;Die Zuführung des Sendesignals könnte z.B. über einen geeigneten Punkt am seriellen Bus des Mikrocontrollers erfolgen. Der Abgriff des Empfangssignals könnte an einem geeigneten Punkt direkt am Demodulator erfolgen.;;;Die Zuführung des Sendesignals könnte z.B. über einen geeigneten Punkt am Eingang des Ringmodulators erfolgen. Der Abgriff des Empfangssignals könnte z.B. unter Verwendung eines zusätzlichen Hochpassfilters direkt am Ausgang des Audioverstärkers erfolgen.;;
TE312;Was versteht man unter 'DAMA' bei der Betriebsart Packet-Radio?;;;;;Anforderungsbezogener Mehrfachzugriff. Die TNC der Teilnehmer werden vom Netzknoten gepollt (angesprochen) und gehen nur nach Aufforderung des Netzknotens auf Sendung.;;;Automatische Bitratenerkennung. Ein Netzknoten stellt sich automatisch auf die Bitrate des Anwenders ein.;;;Automatische Speicherbereichszuweisung bei Digipeatern. Nach Verbindungsaufbau wird der Speicher für Store \& Forward Betrieb bereitgestellt.;;;Asynchrone Zusammenführung der Netzzugänge. Die Signale der Teilnehmer und Linkstrecken werden dem Netzknoten asynchron zugeführt.;;
TE313;Welche HF-Bandbreite beansprucht ein 9600-Baud-FM-Packet-Radio-Signal?;;;;;20 KHz;;;12,5 KHz;;;ca. 6,6 KHz;;;ca. 3 KHz;;
TE314;Eine Packet-Radio-Mailbox ist;;;;;ein Rechnersystem bei dem Texte und Daten über Funk eingespeichert und abgerufen werden können.;;;die Softwaresteuerung einer automatischen Funkstelle.;;;eine fernbedient oder automatisch arbeitende Funkstelle die Internetnachrichten zwischenspeichert.;;;eine Zusatzeinrichtung die E-Mails umwandelt und anschließend zwischenspeichert.;;
TE315;Was versteht man bei Packet Radio unter einem TNC (Terminal Network Controller)? Ein TNC;;;;;besteht aus einem Modem und dem Controller für die digitale Aufbereitung der Daten.;;;wandelt nur die Töne in digitale Daten und schickt diese an den PC.;;;wandelt nur die Töne in digitale Daten und schickt diese an den Sender.;;;ist ein Modem (Modulator und Demodulator) für digitale Signale.;;
TE316;Warum können auf einer Frequenz mehrere Stationen gleichzeitig Verbindungen in der Betriebsart Packet Radio haben?;;;;;Weil die Gesamtinformation einer Station in Teilinformationen zerlegt wird, die zeitversetzt gesendet werden, dazwischen ist genügend Zeit für andere Stationen.;;;Weil es sich um digitale Übertragung handelt, die weit weniger störanfällig ist als analoge Übertragung.;;;Weil in dieser Betriebsart das so genannte 'Multitasking' möglich ist.;;;Weil bei Packet-Radio die dazu benutzten Frequenzen im so genannten 'Timesharing' genutzt werden.;;
TE317;Was versteht man bei Packet-Radio unter dem Begriff 'TX-Delay'?;;;;;Das Zeitintervall zwischen dem Einschalten des Senders und dem Beginn der Datenübertragung.;;;Die Zeit, bis eine gesendete Nachricht beim Empfänger ankommt.;;;Die maximale Zeitspanne, die eine Station senden darf.;;;Die Zeit, die der Funkamateur warten muss, bis er senden darf.;;
TE318;Welches der genannten Übertragungsverfahren passt die Übertragungsgeschwindigkeit automatisch den Kanaleigenschaften an?;;;;;Pactor.;;;SSTV.;;;Packet-Radio.;;;RTTY.;;
TE319;Bei welchem Übertragungsverfahren für Digitalsignale wird ein niederfrequenter Zwischenträger vom Digitalsignal in der Frequenz umgetastet und wie wird das Sendesignal dem Sender zugeführt?;;;;;AFSK, das Sendesignal wird über den Mikrofoneingang zugeführt.;;;AFSK, das Sendesignal wird direkt dem Modulator zugeführt.;;;FSK, das Sendesignal wird über den Mikrofoneingang zugeführt.;;;FSK, das Sendesignal wird direkt dem Modulator zugeführt.;;
TE320;Der Baudot-Code ist ein;;;;;5-Bit-Code mit zusätzlichen Start- und Stoppbits.;;;Fernschreibcode, der Fehlerkorrektur verwendet.;;;7-Bit-Code mit Start-, Stopp- und Paritybits.;;;Fernschreibcode, der 'Mark' und 'Space' verwendet.;;
TE321;Was ist ein wesentlicher Unterschied zwischen den Betriebsarten RTTY und PACTOR?;;;;;Pactor besitzt eine Fehlerkorrektur, RTTY nicht.;;;Pactor belegt eine größere Bandbreite als RTTY.;;;Pactor wird auf UKW, RTTY auf Kurzwelle verwendet.;;;Pactor ist ein digitales Verfahren, RTTY analog.;;
TE322;Um RTTY-Betrieb durchzuführen benötigt man außer einem Transceiver beispielsweise;;;;;einen PC mit Soundkarte und entsprechender Software.;;;einen Fernschreiber.;;;einen RTTY-Microcontroller.;;;eine Zusatzeinrichtung, die RTTY-Signale umwandelt und anschließend zwischenspeichert.;;
TE323;Welches der folgenden digitalen Übertragungsverfahren hat die geringste Bandbreite?;;;;;PSK31.;;;RTTY.;;;Pactor.;;;Amtor.;;
TE324;Pactor ist ein digitales Übertragungsverfahren;;;;;für Texte und Daten.;;;nur für Texte.;;;für bewegte Bilder.;;;für Audio-Streams.;;
TE325;Die theoretische Bandbreite bei PSK31 beträgt;;;;;31 Hz;;;500 Hz;;;2,4 KHz;;;3,1 KHz;;
TE326;Wie nennt man eine Darstellung der Empfangssignale auf einem Computer, wobei als horizontale Achse die Frequenz, als vertikale Achse die Zeit und als Stärke des Signals die Breite einer Linie dargestellt wird?;;;;;Wasserfalldiagramm;;;Fourieranalyse;;;Schmetterlingsdarstellung;;;Lissajous-Figuren;;
TE327;Was ist ein Unterschied zwischen den Betriebsarten ATV und SSTV?;;;;;SSTV überträgt Standbilder, ATV bewegte Bilder.;;;SSTV wird auf UKW, ATV auf Kurzwelle verwendet.;;;SSTV belegt eine größere Bandbreite als ATV.;;;SSTV ist schwarzweiß, ATV in Farbe.;;
TE328;Welche Aussage über die Übertragungsarten ist richtig?;;;;;Bei Halbduplex gibt es nur einen Übertragungskanal, aber es kann durch Umschaltung abwechselnd in beide Richtungen gesendet werden.;;;Bei Duplex gibt es zwei Übertragungskanäle, aber es kann nur durch Umschaltung abwechselnd in beide Richtungen gesendet werden.;;;Bei Simplex gibt es zwei unabhängige Übertragungskanäle.;;;Bei Halbduplex kann nur in eine Richtung gesendet werden.;;
TE329;Wie heißt die Übertragungsart mit einem Übertragungskanal, bei der durch Umschaltung abwechselnd in beide Richtungen gesendet werden kann?;;;;;Halbduplex;;;Simplex;;;Duplex;;;Vollduplex;;
TE330;Wie viel verschiedene Zeichen kann man mit 5 Bit (z.B. Baudot-Code bei RTTY) erzeugen?;;;;;32;;;5;;;64;;;128;;
TF101;Welche Aussage ist für einen Doppelsuper richtig?;;;;;Mit einer niedrigen zweiten ZF erreicht man leicht eine gute Trennschärfe.;;;Das von der Antenne aufgenommene Signal bleibt bis zum Demodulator in seiner Frequenz erhalten.;;;Mit einer hohen ersten ZF erreicht man leicht eine gute Trennschärfe.;;;Mit einer niedrigen zweiten ZF erreicht man leicht eine gute Spiegelselektion.;;
TF102;Die Empfindlichkeit eines Empfängers bezieht sich auf die;;;;;Fähigkeit des Empfängers, schwache Signale zu empfangen.;;;Stabilität des VFO.;;;Bandbreite des HF-Vorverstärkers.;;;Fähigkeit des Empfängers, starke Signale zu unterdrücken.;;
TF103;Eine hohe erste Zwischenfrequenz;;;;;ermöglicht bei großem Abstand zur Empfangsfrequenz eine hohe Spiegelfrequenzunterdrückung.;;;trägt dazu bei, mögliche Beeinflussungen des lokalen Oszillators durch Empfangssignale zu reduzieren.;;;sollte möglichst nahe an der Empfangsfrequenz liegen, um eine gute Spiegelfrequenzunterdrückung zu erreichen.;;;verhindert auf Grund ihrer Höhe, dass durch die Umsetzung auf die zweite Zwischenfrequenz Spiegelfrequenzen auftreten.;;
TF104;Wie ist bei modernen KW-Transceivern der Frequenzplan eines z.B. von 100 KHz bis 30 MHz durchstimmbaren Empfängers?;;;;;Die 1. ZF liegt höher als das Doppelte der maximalen Empfangsfrequenz. Nach der Filterung im Roofing-Filter (1. ZF) wird auf die 2. ZF im Bereich um 9 bis 10 MHz heruntergemischt.;;;Die Empfangsfrequenz wird direkt in die NF-Lage heruntergemischt (Direktmischung). Dabei können keine Spiegelfrequenzen auftreten.;;;Die 1. ZF liegt unter der niedrigsten Empfangsfrequenz. Ein Mitlauffilter unterdrückt Spiegelfrequenzen und andere Störfrequenzen.;;;Die 1. ZF liegt im Bereich um 9 bis 10 MHz. Dabei wird beim Abstimmen in Stufen umgeschaltet.;;
TF105;Wo wird die Bandbreite eines durchstimmbaren Empfängers festgelegt?;;;;;Im Filter bei der letzten ZF;;;Im Filter bei der ersten ZF;;;Durch den gegenseitigen Versatz von 2 Filtern bei der zweiten ZF;;;Im NF-Verstärker;;
TF106;Wie groß sollte die Bandbreite des Filters für die 1. ZF in einem durchstimmbaren Empfänger sein?;;;;;Mindestens so groß wie die größte benötigte Bandbreite der vorgesehenen Betriebsarten.;;;Mindestens so groß wie die doppelte Bandbreite der jeweiligen Betriebsart.;;;Mindestens so groß wie das breiteste zu empfangende Amateurband.;;;Sie muss den vollen Abstimmbereich des Empfängers umfassen.;;
TF107;Womit kann die Frequenzanzeige eines durchstimmbaren Empfängers möglichst genau geprüft werden?;;;;;Mit einem quarzgesteuerten Frequenzmarken-Generator;;;Mit einem LC-Oszillator (Dipmeter);;;Mit den Oberschwingungen eines 50-Hz-Gleichrichters;;;Mit einem RC-Oszillator;;
TF201;In dieser Schaltung können bei einer Empfangsfrequenz von 145,6 MHz und einer Oszillatorfrequenz von 134,9 MHz Spiegelfrequenzstörungen bei;tf201_a.jpg;1.0;;;124,2 MHz auftreten.;;;134,9 MHz auftreten.;;;280,5 MHz auftreten.;;;156,3 MHz auftreten.;;
TF202;In dieser Schaltung können bei einer Empfangsfrequenz von 28,3 MHz und einer Oszillatorfrequenz von 39 MHz Spiegelfrequenzstörungen bei;tf202_a.jpg;1.0;;;49,7 MHz auftreten.;;;39 MHz auftreten.;;;67,3 MHz auftreten.;;;17,6 MHz auftreten.;;
TF203;Folgende Schaltung stellt einen Doppelsuper dar. Welche Funktion haben die drei mit X, Y und Z gekennzeichneten Blöcke?;tf203_a.jpg;1.0;;;X und Y sind Mischer, Z ist ein Produktdetektor;;;X ist ein Mischer, Y ist ein Produktdetektor, Z ist ein Mischer;;;X und Y sind Produktdetektoren, Z ist ein HF-Mischer;;;X und Y sind Balancemischer, Z ist ein ZF-Verstärker;;
TF204;Folgende Schaltung stellt einen Doppelsuper dar. Welche Funktion haben die drei mit X, Y und Z gekennzeichneten Blöcke?;tf204_a.jpg;1.0;;;X ist ein VFO, Y ist ein CO und Z ein BFO;;;X ist ein VFO, Y ist ein BFO und Z ein CO;;;X ist ein BFO, Y ist ein CO und Z ein VFO;;;X ist ein BFO, Y ist ein VFO und Z ein CO;;
